country_id,country,ehc90,sur90,fh90,edu90,lea90,ehc16,sur16,fh16,edu16,lea16
115,Montenegro,17,42,77,12,80,19,43,77,13,79
116,Morocco,5,38,60,6,58,10,42,66,11,62
117,Mozambique,1,29,41,4,55,4,34,45,8,59
118,Myanmar,3,34,40,6,68,8,40,56,9,72
119,Namibia,4,36,51,8,51,6,37,51,11,57
120,Nepal,2,34,37,5,65,7,40,47,9,69
121,Netherlands,23,43,88,12,89,27,44,90,14,89
122,New Zealand,19,42,84,11,85,22,43,86,13,86
123,Nicaragua,7,39,70,7,66,11,42,73,9,68
124,Niger,1,27,37,2,53,2,35,38,4,52
125,Nigeria,3,31,37,8,64,5,36,45,9,66
126,North Korea,8,41,50,9,78,12,40,57,11,83
127,Northern Mariana Islands,15,42,71,12,73,18,42,73,14,76
128,Norway,21,43,88,12,83,25,44,90,13,86
129,Oman,6,40,54,8,67,14,43,68,12,74
130,Pakistan,3,36,43,5,66,6,39,45,9,68
131,Palestine,10,41,65,10,68,15,42,71,14,69
132,Panama,11,41,74,10,68,15,42,75,12,69
133,Papua New Guinea,2,33,51,4,71,4,36,47,6,73
134,Paraguay,9,41,73,8,64,14,42,78,11,67
135,Peru,9,38,65,10,66,13,43,71,11,70
136,Philippines,7,38,52,10,63,10,40,58,12,64
137,Poland,17,41,74,12,86,23,43,78,14,87
138,Portugal,15,42,83,9,82,20,43,86,11,86
139,Puerto Rico,16,41,77,13,71,18,43,80,13,73
140,Qatar,10,42,73,10,64,15,43,77,11,70
141,Romania,15,40,73,11,80,18,42,73,13,79
142,Russia,15,40,72,11,86,19,40,78,12,90
143,Rwanda,2,29,46,4,61,6,39,56,8,62
144,Saint Lucia,7,41,69,7,70,14,42,79,11,72
145,Saint Vincent and the Grenadines,7,40,69,6,68,11,41,74,9,71
146,Samoa,11,40,71,9,76,15,41,75,11,78
147,Sao Tome and Principe,4,36,51,7,62,7,40,57,9,66
148,Saudi Arabia,7,40,63,8,63,17,43,73,14,68
149,Senegal,2,33,46,3,72,5,38,50,6,70
150,Serbia,17,42,76,12,81,20,43,76,13,82
151,Seychelles,10,40,74,10,67,14,41,74,11,72
152,Sierra Leone,1,29,39,3,61,5,34,46,8,65
153,Singapore,17,43,78,10,94,24,44,82,12,98
154,Slovakia,18,41,76,12,87,21,43,79,13,85
155,Slovenia,18,42,77,12,86,23,44,79,14,86
156,Solomon Islands,4,36,51,5,72,7,37,61,8,75
157,Somalia,1,30,44,3,59,4,34,43,7,63
158,South Africa,6,36,60,10,53,7,35,54,12,58
159,South Korea,20,41,80,12,93,26,43,84,13,96
160,South Sudan,1,30,34,2,58,2,35,40,4,60
161,Spain,18,43,83,10,85,20,44,85,11,86
162,Sri Lanka,7,40,49,9,70,13,42,59,13,75
163,Sudan,3,34,39,6,62,7,39,46,10,67
164,Suriname,8,39,66,8,68,11,40,72,10,70
165,Swaziland,5,37,59,8,54,5,33,50,10,56
166,Sweden,22,43,87,12,87,24,44,89,13,87
167,Switzerland,20,43,86,11,88,25,44,87,13,88
168,Syria,7,40,53,9,64,12,37,62,13,69
169,Taiwan,21,42,76,13,93,26,43,82,14,95
170,Tajikistan,10,37,56,11,76,11,40,59,11,76
171,Tanzania,2,32,40,6,58,6,37,49,9,64
172,Thailand,8,40,57,9,76,16,42,67,13,77
173,The Bahamas,12,40,76,10,72,14,41,77,11,73
174,The Gambia,3,35,44,5,62,5,38,45,9,65
175,Timor Leste,4,33,39,7,69,8,41,47,11,72
176,Togo,3,33,42,5,63,6,36,49,9,64
177,Tonga,11,39,66,10,76,14,40,71,11,77
178,Trinidad and Tobago,10,40,77,8,75,12,41,80,9,76
179,Tunisia,8,40,63,9,64,15,43,75,13,68
180,Turkey,8,39,65,8,73,20,43,75,14,79
181,Turkmenistan,10,37,63,11,75,13,40,72,10,77
182,Uganda,2,28,37,6,55,5,36,49,9,57
183,UK,19,43,85,11,87,22,44,87,12,88
184,Ukraine,17,40,72,13,80,20,41,74,14,82
185,United Arab Emirates,10,41,59,11,72,16,42,68,13,77
186,Uruguay,12,41,77,9,75,15,42,79,11,76
187,USA,22,42,87,13,87,23,43,88,12,89
188,Uzbekistan,11,39,57,11,76,14,40,67,12,78
189,Vanuatu,5,37,55,7,72,8,38,60,9,75
190,Venezuela,10,41,73,9,66,15,41,76,12,71
191,Vietnam,7,39,52,8,77,14,42,67,11,82
192,Virgin Islands,16,41,78,12,74,18,42,80,13,74
193,Yemen,2,34,39,5,53,4,38,36,9,55
194,Zambia,3,30,44,7,51,5,34,46,10,55
195,Zimbabwe,5,35,50,9,54,5,34,49,11,56
