year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
1998,Maluku,MA,25,6416,1816,919,18713,7.483,0.268,0.379,0.709
1998,Papua,PA,26,22570,1996,1028,22635,4.877,0.809,1,0.809
1999,Aceh,AC,1,39208,3932,1655,32743,7.906,1,1,1
1999,North Sumatra,SU,2,65394,11314,5057,107727,8.122,0.765,0.774,0.988
1999,Riau,RI,3,89273,4564,1715,179802,7.546,0.993,1,0.993
1999,West Sumatra,SB,4,22098,4190,1937,43042,7.569,0.49,0.502,0.976
1999,Jambi,JA,5,9011,2344,1143,21211,6.844,0.355,0.442,0.803
1999,Bengkulu,BE,6,4680,1370,759,9392,6.811,0.416,1,0.416
1999,South Sumatra,SS,7,45501,7426,3471,110560,6.797,0.565,0.617,0.916
1999,Lampung,LA,8,22686,6548,3187,41694,6.921,0.531,0.573,0.926
1999,West Java,JB,9,232364,41231,17945,454948,6.955,1,1,1
1999,Jakarta,JK,10,217431,8312,4453,910835,9.788,1,1,1
1999,Central Java,JT,11,110418,30599,15286,254779,6.084,0.786,0.874,0.9
1999,Yogyakarta,YO,12,12977,3090,1584,32365,7.648,0.339,0.346,0.981
1999,East Java,JI,13,195528,34278,17866,441780,6.03,0.971,1,0.971
1999,Bali,BA,14,16767,3087,1756,30437,7.023,0.47,0.51,0.921
1999,West Kalimantan,KB,15,18747,3684,1730,46854,6.181,0.422,0.492,0.857
1999,Central Kalimantan,KT,16,10834,1750,820,32141,7.676,0.35,0.551,0.634
1999,East Kalimantan,KI,17,78023,2363,1167,92518,7.949,1,1,1
1999,South Kalimantan,KS,18,16373,2923,1583,21655,6.315,0.631,0.853,0.74
1999,North Sulawesi,SA,19,11354,2590,1259,14202,8.047,0.668,0.946,0.706
1999,Central Sulawesi,ST,20,8299,2023,1013,17584,7.469,0.394,0.507,0.777
1999,South Sulawesi,SN,21,29278,7697,3291,46505,7.152,0.631,0.666,0.948
1999,Southeast Sulawesi,SG,22,5520,1721,736,9782,7.359,0.471,1,0.471
1999,West Nusa Tenggara,NB,23,9316,3765,1741,29910,5.49,0.292,1,0.292
