year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
2006,North Sulawesi,SA,19,15705,3083,1365,25247,8.197,0.737,0.764,0.965
2006,Central Sulawesi,ST,20,12689,2349,1155,24486,7.534,0.624,0.674,0.926
2006,South Sulawesi,SN,21,42206,8621,3571,72032,7.713,0.788,0.816,0.965
2006,Southeast Sulawesi,SG,22,8643,2002,925,17613,7.419,0.584,0.675,0.865
2006,West Nusa Tenggara,NB,23,15527,4257,2093,43643,6.417,0.456,0.635,0.718
2006,East Nusa Tenggara,NT,24,10266,4355,2048,22754,6.082,0.531,1,0.531
2006,Maluku,MA,25,5800,2155,942,13694,7.915,0.498,0.566,0.88
2006,Papua,PA,26,23938,2662,1218,54751,6.063,0.585,1,0.585
2007,Aceh,AC,1,35983,4224,1742,48962,8.602,0.946,0.952,0.994
2007,North Sumatra,SU,2,99792,12834,5654,156164,8.48,0.934,0.95,0.984
2007,Riau,RI,3,120927,6464,2704,293358,8.429,0.877,0.929,0.944
2007,West Sumatra,SB,4,32913,4698,2107,61835,8.001,0.707,0.709,0.998
2007,Jambi,JA,5,14275,2742,1223,25930,7.799,0.682,0.711,0.959
2007,Bengkulu,BE,6,7037,1617,805,9592,7.746,0.885,1,0.885
2007,South Sumatra,SS,7,64727,8095,3880,147709,7.451,0.65,0.724,0.898
2007,Lampung,LA,8,32695,7290,3550,63880,7.174,0.691,0.787,0.878
2007,West Java,JB,9,349530,49553,22256,606051,7.708,1,1,1
2007,Jakarta,JK,10,332971,9065,4395,1153986,10.112,1,1,1
2007,Central Java,JT,11,159110,32380,17664,307966,7.025,0.857,0.901,0.952
2007,Yogyakarta,YO,12,18292,3435,1889,49711,8.414,0.472,0.478,0.988
2007,East Java,JI,13,288404,36896,20118,571649,6.968,0.913,1,0.913
2007,Bali,BA,14,24450,3480,2060,38877,7.927,0.782,0.788,0.992
2007,West Kalimantan,KB,15,26020,4179,2144,75220,6.718,0.477,0.633,0.755
2007,Central Kalimantan,KT,16,15755,2028,1018,55556,7.782,0.388,0.433,0.895
2007,East Kalimantan,KI,17,98386,3025,1241,139251,8.788,1,1,1
2007,South Kalimantan,KS,18,25922,3397,1731,31260,7.498,1,1,1
2007,North Sulawesi,SA,19,16684,3128,1427,27925,8.447,0.73,0.747,0.978
2007,Central Sulawesi,ST,20,13961,2396,1183,25883,7.7,0.671,0.709,0.947
2007,South Sulawesi,SN,21,44900,8717,3783,76552,7.316,0.804,0.9,0.894
2007,Southeast Sulawesi,SG,22,9332,2032,956,19247,7.568,0.596,0.765,0.779
2007,West Nusa Tenggara,NB,23,16369,4293,2086,46149,6.314,0.468,0.754,0.621
2007,East Nusa Tenggara,NT,24,10902,4449,2087,23335,6.3,0.563,1,0.563
2007,Maluku,MA,25,6135,2221,949,13223,8.105,0.56,0.604,0.926
2007,Papua,PA,26,25135,2732,1287,61567,6.185,0.557,1,0.557
2008,Aceh,AC,1,34098,4294,1781,52353,8.57,0.849,0.858,0.99
2008,North Sumatra,SU,2,106172,13042,5931,168262,8.608,0.933,0.935,0.998
2008,Riau,RI,3,128100,6642,2887,313048,8.699,0.855,0.871,0.983
2008,West Sumatra,SB,4,35177,4763,2126,64513,8.276,0.731,0.737,0.992
2008,Jambi,JA,5,15298,2788,1257,27083,7.834,0.703,0.73,0.963
2008,Bengkulu,BE,6,7442,1642,836,9924,7.933,0.92,1,0.92
2008,South Sumatra,SS,7,67965,8244,3956,155916,7.555,0.65,0.711,0.915
2008,Lampung,LA,8,34443,7391,3659,67137,7.412,0.7,0.745,0.94
2008,West Java,JB,9,370907,50521,22682,632400,7.935,1,1,1
2008,Jakarta,JK,10,353723,9146,4559,1204075,10.247,1,1,1
2008,Central Java,JT,11,168034,32626,17341,320582,7.204,0.86,0.897,0.958
2008,Yogyakarta,YO,12,19212,3469,1984,52177,8.555,0.476,0.485,0.983
2008,East Java,JI,13,305539,37095,20117,592957,7.221,0.912,1,0.912
2008,Bali,BA,14,25910,3516,2095,42274,8.06,0.772,0.782,0.988
2008,West Kalimantan,KB,15,27439,4249,2166,78748,6.782,0.488,0.638,0.765
2008,Central Kalimantan,KT,16,16726,2057,1078,59818,7.578,0.388,0.511,0.76
2008,East Kalimantan,KI,17,103207,3095,1249,148901,8.685,1,1,1
2008,South Kalimantan,KS,18,27593,3447,1713,33844,7.429,1,1,1
2008,North Sulawesi,SA,19,18423,3180,1470,31003,8.273,0.737,0.75,0.983
2008,Central Sulawesi,ST,20,15047,2438,1219,27686,7.683,0.683,0.75,0.91
2008,South Sulawesi,SN,21,48548,8837,3755,82481,7.461,0.82,0.876,0.936
2008,Southeast Sulawesi,SG,22,10011,2075,963,21250,7.75,0.589,0.744,0.791
2008,West Nusa Tenggara,NB,23,16832,4364,2073,49082,6.533,0.457,0.674,0.679
2008,East Nusa Tenggara,NT,24,11430,4534,2211,23877,6.401,0.587,1,0.587
2008,Maluku,MA,25,6438,2280,972,12806,8.141,0.617,0.652,0.945
2008,Papua,PA,26,25331,2786,1398,69082,6.052,0.513,1,0.513
2009,Aceh,AC,1,32219,4364,1898,55550,8.579,0.783,0.791,0.99
2009,North Sumatra,SU,2,111559,13248,6298,181324,8.488,0.946,0.951,0.995
2009,Riau,RI,3,132105,6822,2943,335437,8.651,0.856,0.872,0.982
2009,West Sumatra,SB,4,36683,4828,2172,67329,8.051,0.757,0.762,0.994
2009,Jambi,JA,5,16275,2834,1334,28262,7.663,0.739,0.758,0.974
2009,Bengkulu,BE,6,7860,1667,829,10280,7.846,0.973,1,0.973
2009,South Sumatra,SS,7,70723,8361,4000,164558,7.49,0.663,0.708,0.937
2009,Lampung,LA,8,36256,7492,3627,70523,7.302,0.728,0.76,0.958
2009,West Java,JB,9,386859,51284,23339,660003,7.892,1,1,1
2009,Jakarta,JK,10,371469,9223,4688,1254408,10.418,1,1,1
2009,Central Java,JT,11,176673,32865,17088,334167,7.058,0.877,0.906,0.967
2009,Yogyakarta,YO,12,20064,3502,2017,54654,8.678,0.49,0.499,0.982
2009,East Java,JI,13,320861,37286,20339,615674,7.068,0.934,1,0.934
2009,Bali,BA,14,27291,3551,2124,45950,7.947,0.777,0.786,0.988
2009,West Kalimantan,KB,15,28757,4319,2201,82352,6.519,0.509,0.637,0.8
2009,Central Kalimantan,KT,16,17658,2086,1047,64041,7.686,0.402,0.572,0.702
2009,East Kalimantan,KI,17,105565,3165,1461,158760,8.689,1,1,1
2009,South Kalimantan,KS,18,29052,3496,1822,36957,7.345,1,1,1
2009,North Sulawesi,SA,19,19860,3213,1498,34260,8.136,0.754,0.764,0.986
2009,Central Sulawesi,ST,20,16208,2480,1216,29652,7.634,0.718,0.772,0.93
2009,South Sulawesi,SN,21,51566,8956,4048,89565,7.285,0.838,0.884,0.948
2009,Southeast Sulawesi,SG,22,10769,2118,998,23523,7.713,0.598,0.677,0.884
2009,West Nusa Tenggara,NB,23,18874,4434,2099,52571,6.352,0.498,0.677,0.736
2009,East Nusa Tenggara,NT,24,11921,4620,2250,24610,6.183,0.616,1,0.616
2009,Maluku,MA,25,6805,2315,1018,12444,8.002,0.696,0.71,0.979
2009,Papua,PA,26,30425,2841,1480,77254,5.42,0.581,1,0.581
2010,Aceh,AC,1,33103,4494,1939,58816,8.804,0.78,0.787,0.992
2010,North Sumatra,SU,2,118719,12982,6617,194932,8.7,0.946,0.951,0.995
2010,Riau,RI,3,138811,7218,3204,361104,8.97,0.841,0.852,0.987
2010,West Sumatra,SB,4,38862,4847,2194,70703,8.28,0.781,0.785,0.994
2010,Jambi,JA,5,17472,3092,1546,29574,7.87,0.777,0.778,1
2010,Bengkulu,BE,6,8340,1716,855,10669,8.026,1,1,1
2010,South Sumatra,SS,7,74744,8674,4285,174014,7.739,0.668,0.709,0.942
2010,Lampung,LA,8,38390,7608,3958,74108,7.49,0.748,0.779,0.96
2010,West Java,JB,9,410776,53686,24203,689649,8.235,1,1,1
2010,Jakarta,JK,10,395622,9608,5273,1311866,10.415,1,1,1
2010,Central Java,JT,11,186993,32383,16856,349536,7.298,0.879,0.907,0.969
2010,Yogyakarta,YO,12,21044,3457,1882,57178,8.58,0.51,0.513,0.995
2010,East Java,JI,13,342281,37477,19527,639952,7.287,0.968,1,0.968
2010,Bali,BA,14,28882,3891,2246,50471,8.273,0.774,0.783,0.988
2010,West Kalimantan,KB,15,30329,4396,2197,86256,6.732,0.521,0.65,0.802
2010,Central Kalimantan,KT,16,18806,2212,1067,68745,7.756,0.407,0.869,0.468
2010,East Kalimantan,KI,17,110953,3553,1648,169036,9.013,1,1,1
2010,South Kalimantan,KS,18,30675,3627,1840,40559,7.576,1,1,1
2010,North Sulawesi,SA,19,21294,3311,1493,37562,8.312,0.766,0.773,0.991
2010,Central Sulawesi,ST,20,17624,2635,1220,31772,7.771,0.753,0.838,0.899
2010,South Sulawesi,SN,21,55944,9193,4103,97623,7.591,0.849,0.878,0.967
2010,Southeast Sulawesi,SG,22,11654,2233,1046,26200,8.103,0.6,0.62,0.969
2010,West Nusa Tenggara,NB,23,20073,4500,2252,56270,6.642,0.506,0.664,0.763
2010,East Nusa Tenggara,NT,24,12547,4684,2132,25355,6.513,0.652,1,0.652
2010,Maluku,MA,25,7287,2572,1089,12120,8.357,0.772,0.773,0.998
2010,Papua,PA,26,31761,3594,1853,86113,5.273,0.557,1,0.557
