id,country,year,ehc,sur,fh,edu,lea
78,India,1990,3,35,36,6,63
78,India,2016,7,39,43,10,66
79,Indonesia,1990,6,37,50,9,68
79,Indonesia,2016,10,41,57,11,70
80,Iran,1990,9,38,60,10,69
80,Iran,2016,15,42,73,12,73
81,Iraq,1990,6,38,55,8,65
81,Iraq,2016,9,39,62,10,67
82,Ireland,1990,20,43,86,12,86
82,Ireland,2016,24,44,89,13,89
83,Israel,1990,19,43,85,11,85
83,Israel,2016,21,44,87,12,85
84,Italy,1990,19,43,86,11,85
84,Italy,2016,22,44,88,12,86
85,Jamaica,1990,10,41,72,9,72
85,Jamaica,2016,14,42,77,11,73
86,Japan,1990,21,43,82,11,93
86,Japan,2016,24,44,85,12,94
87,Jordan,1990,12,41,64,11,73
87,Jordan,2016,16,42,72,13,71
88,Kazakhstan,1990,13,39,67,11,82
88,Kazakhstan,2016,18,41,74,13,84
89,Kenya,1990,5,35,49,8,61
89,Kenya,2016,8,38,54,11,66
90,Kiribati,1990,4,35,55,5,72
90,Kiribati,2016,7,36,61,8,75
91,Kuwait,1990,9,42,70,8,65
91,Kuwait,2016,17,43,82,13,65
92,Kyrgyzstan,1990,11,38,63,12,68
92,Kyrgyzstan,2016,14,41,69,13,70
93,Laos,1990,3,31,45,6,68
93,Laos,2016,7,39,54,9,71
94,Latvia,1990,18,40,75,13,84
94,Latvia,2016,23,42,80,14,87
95,Lebanon,1990,14,39,69,13,69
95,Lebanon,2016,18,43,72,15,72
96,Lesotho,1990,3,35,47,7,54
96,Lesotho,2016,4,28,45,10,59
97,Liberia,1990,2,28,34,5,62
97,Liberia,2016,5,37,39,9,63
98,Libya,1990,8,41,65,8,68
98,Libya,2016,16,42,68,14,74
99,Lithuania,1990,18,41,75,13,84
99,Lithuania,2016,21,42,81,13,86
100,Luxembourg,1990,21,42,87,12,85
100,Luxembourg,2016,25,44,89,13,87
101,Macedonia,1990,15,41,78,11,75
101,Macedonia,2016,18,43,77,13,75
102,Madagascar,1990,3,32,42,5,80
102,Madagascar,2016,5,36,40,7,81
103,Malawi,1990,2,28,38,6,51
103,Malawi,2016,4,34,45,9,54
104,Malaysia,1990,8,41,54,8,78
104,Malaysia,2016,15,43,66,12,78
105,Maldives,1990,4,36,43,7,68
105,Maldives,2016,12,43,58,11,74
106,Mali,1990,1,29,28,1,60
106,Mali,2016,3,35,44,5,62
107,Malta,1990,17,43,85,10,82
107,Malta,2016,21,44,88,12,82
108,Marshall Islands,1990,9,38,60,9,73
108,Marshall Islands,2016,12,38,64,11,76
109,Mauritania,1990,3,35,43,5,69
109,Mauritania,2016,7,40,53,9,71
110,Mauritius,1990,8,41,56,10,66
110,Mauritius,2016,12,42,64,11,73
111,Mexico,1990,10,40,72,9,70
111,Mexico,2016,13,42,77,10,74
112,Micronesia,1990,8,37,58,10,73
112,Micronesia,2016,12,39,65,11,76
113,Moldova,1990,13,39,70,11,78
113,Moldova,2016,18,41,75,13,80
114,Mongolia,1990,9,36,60,10,73
114,Mongolia,2016,12,39,71,11,74
115,Montenegro,1990,17,42,77,12,80
115,Montenegro,2016,19,43,77,13,79
116,Morocco,1990,5,38,60,6,58
116,Morocco,2016,10,42,66,11,62
117,Mozambique,1990,1,29,41,4,55
